Date,Open,High,Low,Close,Volume,Ticker
2023-05-22,135.16686029354008,136.7244171107884,134.06583605071938,135.9814453125,3717000,TGT
2023-05-23,134.56708354918192,135.46222811054776,131.5325440325047,131.72947692871094,4374100,TGT
2023-05-24,130.5120717616273,130.59263148908423,127.22689306227984,128.09518432617188,6738300,TGT
2023-05-25,127.27164252695907,127.28954924200207,124.11178343353684,125.99159240722656,7409500,TGT
2023-05-26,125.59773061739523,125.74990355303888,122.82279068576446,124.3624267578125,8100400,TGT
2023-05-30,123.72687438159274,124.32661955995248,119.57340443119811,119.80613708496094,10931900,TGT
2023-05-31,120.16420321128649,121.07724077160147,116.9327310034189,117.20126342773438,20234400,TGT
2023-06-01,115.11558264384458,118.1859215753906,113.45955993472087,117.40715026855469,13678400,TGT
2023-06-02,117.47876222729433,119.30485089062768,116.87005690030301,119.25114440917969,7594000,TGT
2023-06-05,117.86367366385647,118.61559175928275,116.1181446356094,116.90587615966797,7702900,TGT
2023-06-06,116.4583074925796,119.01842136562797,116.30612090444674,118.78567504882812,6065200,TGT
2023-06-07,118.1859268420314,118.43656620847688,117.27287563065376,117.93528747558594,5504400,TGT
2023-06-08,117.71152520350378,118.84836276948359,116.56574110791703,117.50564575195312,6162000,TGT
2023-06-09,115.92119941966375,116.9058637199609,113.63857847538908,113.67438507080078,9404100,TGT
2023-06-12,113.95189847157874,114.03245819909074,111.96467657335546,113.21788024902344,8248400,TGT
2023-06-13,114.13093731900044,115.83170660767607,113.45062550588338,115.22301483154297,6916300,TGT
2023-06-14,115.65264777713168,120.42376882185877,114.51581745276613,119.26007843017578,14968700,TGT
2023-06-15,120.94297052902397,123.6015507117195,120.48645176407994,123.38671112060547,10063100,TGT
2023-06-16,123.58365355755392,123.58365355755392,119.62711631218613,119.77928924560547,9903000,TGT
2023-06-20,119.16163358060886,119.3138065092467,117.63989063540924,118.80358123779297,5355200,TGT
2023-06-21,118.48131963784438,119.93144927222147,117.55932194946632,119.25114440917969,3845500,TGT
2023-06-22,119.44809084889992,119.7345300021003,117.64884156308717,118.50818634033203,4620600,TGT
2023-06-23,117.27287953387187,118.52609006663114,116.6552412838164,118.00690460205078,6975500,TGT
2023-06-26,118.4723793096463,121.25627923387165,118.46341912305591,120.39693450927734,4831100,TGT
2023-06-27,119.23322184051865,120.70125799310392,118.5260638307884,118.61557006835938,6047600,TGT
2023-06-28,118.78568289548615,119.39438831176275,118.05167144333113,118.57980346679688,4601900,TGT
2023-06-29,118.58872886832606,120.00305869016385,117.95318397943393,118.97364807128906,6055200,TGT
2023-06-30,119.7792787681254,119.81509219569239,117.38029815631893,118.06954956054688,7316200,TGT
2023-07-03,117.79205860732668,121.13095734533829,117.79205860732668,120.71918487548828,4134600,TGT
2023-07-05,120.16420944043111,120.38799557817555,118.59770647622003,118.65141296386719,5186900,TGT
2023-07-06,118.05166259213124,119.02736683191847,116.75369212290786,117.1207046508789,4882300,TGT
2023-07-07,116.81634833426943,118.35599784946503,116.24345644434689,116.41353607177734,4256800,TGT
2023-07-10,116.61942879568643,118.03375879845134,116.61942879568643,117.92634582519531,3831300,TGT
2023-07-11,118.19487736659492,120.21791273979808,117.59513217240419,119.40332794189453,4089200,TGT
2023-07-12,120.7102304304927,121.21150911999068,118.91098140569189,118.97364807128906,3758300,TGT
2023-07-13,119.38542312396939,120.21791465011638,118.77673139200962,118.89310455322266,3077400,TGT
2023-07-14,118.2396238570735,118.7677557898717,116.95957388515717,117.19230651855469,4124300,TGT
2023-07-17,117.08491080169358,117.11176404570111,115.0708355481971,116.37773895263672,4731500,TGT
2023-07-18,116.68208276088512,118.13221237718749,115.5094320756654,117.09384155273438,3786400,TGT
